εἰκών	13513
ἀποδείκνυμι	13453
θυγάτηρ	13341
ἀδικέω	13315
Ἰσραήλ	13304
ὀρθός	13253
νεκρός	13238
κατηγορέω	13232
θαυμάζω	13187
διότι	13161
τρέφω	13150
βασίλεια	13117
καθαρός	13111
κατέχω	13089
θυμός	13075
μιμνήσκω	13072
πρίν	13066
χαίρω	13001
μ̊	13000
γνῶσις	12989
ἴσως	12978
πάνυ	12964
ἔνιοι	12956
μάχη	12942
περιέχω	12927
ὅπου	12922
τιμάω	12919
δεξιός	12909
ἐπειδή	12884
ἁμαρτάνω	12865
πόνος	12854
ἤγουν	12831
ἡδύς	12811
ἔξω	12810
ἐπιστήμη	12803
ποῖος	12737
βοῦς	12735
φόβος	12729
καταλαμβάνω	12726
ἀνίστημι	12696
γράμμα	12693
τίκτω	12672
μεταξύ	12665
γλῶσσα	12655
ἀνθρώπινος	12620
ἐνδέχομαι	12589
σπέρμα	12520
στρατηγός	12502
μεταβάλλω	12457
φάρμακον	12426
μείς	12425
δράω	12396
στοιχεῖον	12366
παραλαμβάνω	12364
βάρβαρος	12342
κατασκευάζω	12332
δικαιοσύνη	12316
πρόκειμαι	12294
μετέχω	12278
λείπω	12276
ζ	12273
αὖθις	12268
Ἀλέξανδρος	12259
δαίμων	12203
παύω	12189
ἔσχατος	12183
περ	12163
ἀγνοέω	11972
ἐφίστημι	11942
τεῖχος	11907
φρονέω	11837
Ἰωάννης	11833
ἀνά	11827
νῆσος	11826
ὁρίζω	11792
φοβέω	11783
σφεῖς	11762
εἴπερ	11758
ἀφικνέομαι	11704
σωτήρ	11677
θνῄσκω	11667
ἐξέρχομαι	11650
μάχομαι	11611
κακία	11611
συντίθημι	11606
εἶδον	11600
παρίστημι	11581
ξένος	11465
διαλέγω	11465
μαθητής	11457
εἰρήνη	11455
χωρίον	11443
τέκνον	11436
φιλόσοφος	11400
κρίσις	11375
διάφορος	11347
αἰτέω	11325
φανερός	11297
ἄνευ	11276
ἕπω	11259
ὀργή	11249
κωλύω	11248
ἄμφω	11236
προσφέρω	11202
μέτρον	11192
ἐάω	11111
λανθάνω	11079
τίνω	11059
σφόδρα	10993
Αἴγυπτος	10988
οὐκοῦν	10941
κτάομαι	10922
ὀξύς	10896
ὁμοῦ	10889
ἐπιτίθημι	10860
ψυχρός	10854
θεωρέω	10830
πολιτεία	10758
οἰκία	10687
ἀποστέλλω	10636
βιβλίον	10623
οὖς	10622
ἀπέρχομαι	10620
ξύλον	10577
βουλή	10568
Πέρσης	10549
λογισμός	10532
χαλεπός	10523
συμφέρω	10490
ἐρωτάω	10487
τελευτάω	10455
κίνδυνος	10455
ἔ	10454
αὐξάνω	10442
κακῶς	10418
ἐπιδείκνυμι	10413
ναός	10401
πλοῦτος	10383
ἰσχυρός	10379
Ἔρως	10360
Ἀριστοτέλης	10357
βασιλεύω	10351
ἄλογος	10348
πορεύω	10253
μέλας	10249
νόσος	10240
πέρας	10240
ἀπλόος	10214
Σωκράτης	10214
διαφθείρω	10185
θυσία	10177
μέλος	10177
ἐπιθυμία	10175
ἐπαινέω	10116
τρέπω	10107
μακάριος	10096
ἀφίστημι	10087
μοῖρα	10078
ἀγάπη	10071
δείδω	10061
ἀγών	10037
ἀείρω	10006
γάμος	9979
στρατιώτης	9977
χωρέω	9977
τελέω	9974
ἅπτω	9958
ὅπλον	9943
παρακαλέω	9920
χρήσιμος	9918
καίω	9911
διώκω	9900
ὄψις	9863
ἀλλότριος	9858
λογικός	9767
ἀπαλλάσσω	9749
πάλαι	9743
γραφή	9734
λαμπρός	9732
ἀείδω	9707
ἱστορία	9686
πλησίος	9684
ὑπομένω	9614
συνεχής	9599
φιλέω	9597
ἐπιφέρω	9591
παρθένος	9571
βαρύς	9552
ὀφείλω	9511
ἐξουσία	9484
Νίκη	9481
ξηρός	9468
θεάομαι	9448
Ὅμηρος	9447
εἰκότως	9408
ἀποφαίνω	9363
μυρίος	9340
ἀποκτείνω	9339
ἐπίσκοπος	9309
Δαυίδ	9275
ἀποκρίνω	9265
λεπτός	9263
σαφής	9256
ἱκανός	9246
κάλλος	9240
ἄτοπος	9240
διδάσκαλος	9213
Ἀχιλλεύς	9200
ἰατρός	9197
ἀπαντάω	9196
κενός	9164
τέταρτος	9147
ὧδε	9096
εἰσάγω	9091
κράτος	9079
ὑφ	9045
τέμνω	9037
α	9012
ἀρχαῖος	9009
κύω	8997
πολίτης	8984
εἴωθα	8976
νοητός	8976
παρασκευάζω	8958
ὑψηλός	8957
οὐκ	8953
ἀναλαμβάνω	8949
τολμάω	8948
σπουδή	8935
περισσός	8907
αὖ	8900
κεφάλαιος	8879
σαφῶς	8868
ἐκεῖθεν	8860
ἐκβάλλω	8834
Αἰγύπτιος	8830
γαστήρ	8830
αἰσθάνομαι	8828
ἐνεργέω	8827
ταὐτός	8821
ἀνάγω	8811
ἔμπροσθεν	8811
ἐμβάλλω	8811
ποιότης	8803
φαῦλος	8801
θεραπεύω	8790
πρόσειμι	8780
καθώς	8779
ἀκολουθέω	8740
ὑπολαμβάνω	8726
πρότασις	8714
παραγίγνομαι	8702
συνάπτω	8685
χρυσός	8684
φίλιος	8682
ἔλαιον	8658
δόγμα	8653
πολεμέω	8624
ἱερεύς	8592
προερέω	8587
δέκα	8584
παρέρχομαι	8584
ἄχρι	8580
βασιλικός	8544
παράδειγμα	8503
ἐγείρω	8496
ἀγαπάω	8478
συγχωρέω	8451
πιστός	8448
πότερος	8447
δηλονότι	8430
ἔθος	8408
κομίζω	8395
ὑπόθεσις	8382
φθάνω	8359
σελήνη	8350
διδασκαλία	8323
στάσις	8320
Ἡρακλῆς	8305
πειράω	8305
διάθεσις	8302
μαρτυρέω	8301
ῥέω	8292
θηρίον	8290
μάρτυς	8287
ὁποῖος	8283
θαυμαστός	8257
ὀρθῶς	8256
βουλεύω	8232
πατρίς	8227
φάσκω	8220
ἀπόδειξις	8206
Ἀττικός	8186
Καῖσαρ	8182
λυπέω	8179
διπλόος	8167
χείρων	8159
πυνθάνομαι	8147
ἀναγκάζω	8147
ἕλκω	8126
ἡλικία	8117
θύω	8097
Ἀπόλλων	8093
Ὀδυσσεύς	8083
τύπος	8083
ἄδικος	8078
λίαν	8064
φιλοσοφία	8041
τοιόσδε	8034
τάχα	8028
ἄρτος	8023
ἀσθενής	7981
προστάσσω	7980
εὔχομαι	7974
κτίζω	7970
καθά	7961
ἀπέχω	7958
ἐφεξῆς	7941
προσέχω	7908
μῦθος	7891
πρέπω	7868
ἐρῆμος	7864
φθείρω	7854
τιμωρία	7815
θνητός	7811
ἐντός	7810
χαρίζομαι	7804
μέτριος	7790
λογίζομαι	7786
ἀρκέω	7784
ἀνέχω	7782
δάκρυ	7769
ἐπιστολή	7764
ἀκριβῶς	7759
μῆκος	7759
ἐλέγχω	7738
ἄνωθεν	7730
ὀστέον	7722
Φίλιππος	7720
ἁρμόζω	7714
γενικός	7692
συμφορά	7680
μνήμη	7672
ἔννοια	7672
μεταβολή	7636
ρ	7632
ὑφίστημι	7628
Λακεδαιμόνιος	7624
διαίρεσις	7624
ἄπειμι	7612
ἀναβαίνω	7606
ἰσχύς	7588
ὑποτίθημι	7584
μάλα	7580
ἀστήρ	7580
ἱστορέω	7566
σκοπός	7552
ἀθάνατος	7530
ὄργανον	7521
ἔξωθεν	7514
ῥίζα	7513
ἀντίκειμαι	7502
παραπλήσιος	7494
διέρχομαι	7494
ἑπτά	7479
κτλ	7466
πείρω	7461
τύραννος	7456
χρηστός	7445
σχεδόν	7440
συλλογισμός	7436
ἔξεστι	7406
βλάπτω	7406
καταλείπω	7405
καινός	7404
ῥᾳδίως	7403
ψευδής	7401
ὁρισμός	7400
λύπη	7398
ἐπιχειρέω	7363
ὁρμάω	7356
ἰχθύς	7341
Τύχη	7339
προέρχομαι	7307
προσάγω	7297
αἰσχρός	7290
προσαγορεύω	7266
ὡσαύτως	7265
συνίημι	7256
ἄνεμος	7238
μισέω	7233
εὐχή	7228
μυστήριον	7212
μνημονεύω	7211
πνευματικός	7211
χράομαι	7204
χρῶμα	7203
βαίνω	7194
Πέτρος	7182
ἁλίσκομαι	7171
δοξάζω	7160
σκοπέω	7157
ἀναγιγνώσκω	7154
ἐλαύνω	7128
θέσις	7128
χρύσεος	7125
πηγή	7124
ἰδέα	7120
πύλη	7111
ποιητικός	7110
χωρίζω	7109
πανταχοῦ	7108
ἀνάστασις	7096
ἔπειμι	7092
πλούσιος	7080
στρατός	7071
σεαυτοῦ	7041
χειμών	7037
Ῥώμη	7033
λήγω	7025
ἐγγύς	7020
αἰτία	7012
ἡγεμών	6994
παιδίον	6971
παιδεύω	6966
δημιουργός	6961
γραφεύς	6957
μέλι	6920
πέτρα	6916
σπουδάζω	6906
εὐσέβεια	6906
ὠφελέω	6876
ἐμαυτοῦ	6875
ἀναφέρω	6875
κοιλία	6847
γλυκύς	6821
πρόνοια	6810
τελευτή	6805
σφοδρός	6802
οὐχ	6792
φόνος	6771
πόσος	6771
ἄρσην	6736
κάθημαι	6725
κρύπτω	6723
θεότης	6721
ἀκριβής	6717
ὕπνος	6716
προσκυνέω	6713
αὐτίκα	6708
δεσμός	6698
κολάζω	6693
τρίγωνος	6686
ἁμάρτημα	6635
Τῖς	6633
λέων	6618
κατηγορία	6603
πόθεν	6564
ἐπιστρέφω	6563
σκότος	6529
θύρα	6525
σύμπας	6519
ἐπαγγέλλω	6512
ἀπολείπω	6496
βάσις	6495
ἐκτείνω	6490
γέρων	6488
Ἀχαιός	6487
πλευρά	6481
θῆλυς	6460
φθορά	6456
τηρέω	6444
ἵν	6435
νοσέω	6432
ἐπιτήδειος	6424
οἶος	6415
διαλύω	6404
ἐντολή	6404
ἐπιτρέπω	6385
κέντρον	6381
ἀνίημι	6380
Φ	6355
βοηθέω	6353
ἐμπίπτω	6349
ἐλεύθερος	6345
Ἀριστοφάνης	6344
ἀμφί	6342
μίγνυμι	6338
ἀπολαύω	6325
δραχ	6324
αἰσθητός	6316
προσέρχομαι	6314
ἰδού	6312
οἶς	6312
