slug	cts_urn	tlg
aelius-herodianus-et-pseudo-herodianus.de-passionibus-excerpta-e-didymo	urn:cts:greekLit:tlg0087.tlg009a	tlg0087.tlg009a
aelius-herodianus-et-pseudo-herodianus.de-prosodia-catholica	urn:cts:greekLit:tlg0087.tlg001	tlg0087.tlg001
aelius-herodianus-et-pseudo-herodianus.ei-s-peri-genw-n-apollwni-ou-u-po-mnhma	urn:cts:greekLit:tlg0087.tlg014	tlg0087.tlg014
aelius-herodianus-et-pseudo-herodianus.ei-s-th-n-apollwni-ou-ei-sagwgh-n	urn:cts:greekLit:tlg0087.tlg032	tlg0087.tlg032
aelius-herodianus-et-pseudo-herodianus.mono-biblon-peri-tou-h-n	urn:cts:greekLit:tlg0087.tlg020	tlg0087.tlg020
aelius-herodianus-et-pseudo-herodianus.mono-biblon-peri-tou-mh-pa-nta-ta-r-h-mata-kli-nesqai-ei-s	urn:cts:greekLit:tlg0087.tlg018	tlg0087.tlg018
aelius-herodianus-et-pseudo-herodianus.mono-biblon-peri-tou-u-dwr	urn:cts:greekLit:tlg0087.tlg015	tlg0087.tlg015
aelius-herodianus-et-pseudo-herodianus.peri-attikh-s-prosw-di-as	urn:cts:greekLit:tlg0087.tlg006	tlg0087.tlg006
aelius-herodianus-et-pseudo-herodianus.peri-dixro-nwn	urn:cts:greekLit:tlg0087.tlg004	tlg0087.tlg004
aelius-herodianus-et-pseudo-herodianus.peri-e-pirrhma-twn	urn:cts:greekLit:tlg0087.tlg024	tlg0087.tlg024
aelius-herodianus-et-pseudo-herodianus.peri-ga-mou-kai-sumbiw-sews	urn:cts:greekLit:tlg0087.tlg029	tlg0087.tlg029
aelius-herodianus-et-pseudo-herodianus.peri-iliakh-s-prosw-di-as	urn:cts:greekLit:tlg0087.tlg007	tlg0087.tlg007
aelius-herodianus-et-pseudo-herodianus.peri-kli-sews-o-noma-twn	urn:cts:greekLit:tlg0087.tlg013	tlg0087.tlg013
aelius-herodianus-et-pseudo-herodianus.peri-metoxw-n	urn:cts:greekLit:tlg0087.tlg019	tlg0087.tlg019
aelius-herodianus-et-pseudo-herodianus.peri-monh-rous-le-cews	urn:cts:greekLit:tlg0087.tlg033	tlg0087.tlg033
aelius-herodianus-et-pseudo-herodianus.peri-monosulla-bwn	urn:cts:greekLit:tlg0087.tlg028	tlg0087.tlg028
aelius-herodianus-et-pseudo-herodianus.peri-ntwnumiw-n	urn:cts:greekLit:tlg0087.tlg023	tlg0087.tlg023
aelius-herodianus-et-pseudo-herodianus.peri-o-noma-twn	urn:cts:greekLit:tlg0087.tlg012	tlg0087.tlg012
aelius-herodianus-et-pseudo-herodianus.peri-o-rqografi-as	urn:cts:greekLit:tlg0087.tlg011	tlg0087.tlg011
aelius-herodianus-et-pseudo-herodianus.peri-odusseiakh-s-prosw-di-as	urn:cts:greekLit:tlg0087.tlg008	tlg0087.tlg008
aelius-herodianus-et-pseudo-herodianus.peri-paqw-n	urn:cts:greekLit:tlg0087.tlg009	tlg0087.tlg009
aelius-herodianus-et-pseudo-herodianus.peri-parwnu-mwn	urn:cts:greekLit:tlg0087.tlg026	tlg0087.tlg026
aelius-herodianus-et-pseudo-herodianus.peri-pneuma-twn	urn:cts:greekLit:tlg0087.tlg005	tlg0087.tlg005
aelius-herodianus-et-pseudo-herodianus.peri-r-hma-twn	urn:cts:greekLit:tlg0087.tlg021	tlg0087.tlg021
aelius-herodianus-et-pseudo-herodianus.peri-r-hmatikw-n-o-noma-twn	urn:cts:greekLit:tlg0087.tlg027	tlg0087.tlg027
aelius-herodianus-et-pseudo-herodianus.peri-sunta-cews-tw-n-stoixei-wn	urn:cts:greekLit:tlg0087.tlg010	tlg0087.tlg010
aelius-herodianus-et-pseudo-herodianus.peri-suzugiw-n	urn:cts:greekLit:tlg0087.tlg017	tlg0087.tlg017
aelius-herodianus-et-pseudo-herodianus.peri-tou-zw-s	urn:cts:greekLit:tlg0087.tlg016	tlg0087.tlg016
aelius-herodianus-et-pseudo-herodianus.peri-tw-n-ei-s-mi	urn:cts:greekLit:tlg0087.tlg022	tlg0087.tlg022
aelius-herodianus-et-pseudo-herodianus.prota-seis	urn:cts:greekLit:tlg0087.tlg031	tlg0087.tlg031
aelius-herodianus-et-pseudo-herodianus.sumpo-sion	urn:cts:greekLit:tlg0087.tlg030	tlg0087.tlg030
aelius-theon.progymnasmata	urn:cts:greekLit:tlg0607.tlg001	tlg0607.tlg001
aeneas-philosophy.epistulae	urn:cts:greekLit:tlg4001.tlg002	tlg4001.tlg002
aeneas-philosophy.theophrastus-sive-de-animarum-immortalitate-et-corporum-resurrectione	urn:cts:greekLit:tlg4001.tlg001	tlg4001.tlg001
aeneas-tactics.poliorcetica	urn:cts:greekLit:tlg0058.tlg001	tlg0058.tlg001
aeschines-socraticus.fragmenta	urn:cts:greekLit:tlg0673.tlg001	tlg0673.tlg001
aeschines.de-falsa-legatione	urn:cts:greekLit:tlg0026.tlg002	tlg0026.tlg002
aeschines.epistulae-sp	urn:cts:greekLit:tlg0026.tlg004	tlg0026.tlg004
aeschines.in-ctesiphontem	urn:cts:greekLit:tlg0026.tlg003	tlg0026.tlg003
aeschines.in-timarchum	urn:cts:greekLit:tlg0026.tlg001	tlg0026.tlg001
