slug	cts_urn	tlg
heniochus.fragmenta	urn:cts:greekLit:tlg0465.tlg001	tlg0465.tlg001
hephaestion-grammar.de-poematis	urn:cts:greekLit:tlg1402.tlg003	tlg1402.tlg003
hephaestion-grammar.de-signis	urn:cts:greekLit:tlg1402.tlg004	tlg1402.tlg004
hephaestion-grammar.enchiridion-de-metris	urn:cts:greekLit:tlg1402.tlg001	tlg1402.tlg001
hephaestion-grammar.fragmenta-hephaestionea	urn:cts:greekLit:tlg1402.tlg005	tlg1402.tlg005
hephaestion-grammar.introductio-metrica	urn:cts:greekLit:tlg1402.tlg002	tlg1402.tlg002
heraclides-comedy.fragmentum	urn:cts:greekLit:tlg0466.tlg001	tlg0466.tlg001
heraclides-lembus.excerpta-politiarum	urn:cts:greekLit:tlg1407.tlg001	tlg1407.tlg001
heraclides-ponticus-junior-grammar.fragmenta	urn:cts:greekLit:tlg0283.tlg001	tlg0283.tlg001
heraclides-ponticus.fragmenta	urn:cts:greekLit:tlg1409.tlg001	tlg1409.tlg001
heraclides.fragmenta	urn:cts:greekLit:tlg1406.tlg001	tlg1406.tlg001
heraclit-quaest-hom-mehler	urn:cts:greekLit:tlg1415.tlg001	tlg1415.tlg001
heraclitus-1ce.allegoriae-quaestiones-homericae	urn:cts:greekLit:tlg1414.tlg001	tlg1414.tlg001
heraclitus-paradoxography.de-incredibilibus	urn:cts:greekLit:tlg1413.tlg001	tlg1413.tlg001
heraclitus-philosophy.fragmenta	urn:cts:greekLit:tlg0626.tlg002	tlg0626.tlg002
heraclitus-philosophy.testimonia	urn:cts:greekLit:tlg0626.tlg001	tlg0626.tlg001
hereas.fragmenta	urn:cts:greekLit:tlg2336.tlg002	tlg2336.tlg002
herillus.fragmenta	urn:cts:greekLit:tlg2169.tlg001	tlg2169.tlg001
hermas.pastor	urn:cts:greekLit:tlg1419.tlg001	tlg1419.tlg001
hermes.ai-nigma-tou-filosofikou-li-qou-ermou-kai-agaqodai-monos	urn:cts:greekLit:tlg4325.tlg002	tlg4325.tlg002
hermesianax-cyprius.fragmenta	urn:cts:greekLit:tlg2532.tlg002	tlg2532.tlg002
hermesianax.fragmenta	urn:cts:greekLit:tlg0213.tlg001	tlg0213.tlg001
hermias-apologetics.irrisio-gentilium-philosophorum	urn:cts:greekLit:tlg0531.tlg001	tlg0531.tlg001
hermias-history.fragmenta	urn:cts:greekLit:tlg2384.tlg003	tlg2384.tlg003
hermias.fragmenta	urn:cts:greekLit:tlg2384.tlg001	tlg2384.tlg001
hermippus-comedy.fragmenta	urn:cts:greekLit:tlg0252.tlg001	tlg0252.tlg001
hermippus-comedy.fragmenta-4	urn:cts:greekLit:tlg0252.tlg004	tlg0252.tlg004
hermippus.fragmenta	urn:cts:greekLit:tlg1421.tlg001	tlg1421.tlg001
hermogenes.peri-eu-re-sews-sp	urn:cts:greekLit:tlg0592.tlg003	tlg0592.tlg003
hermogenes.peri-i-dew-n-lo-gou	urn:cts:greekLit:tlg0592.tlg004	tlg0592.tlg004
hermogenes.peri-meqo-dou-deino-thtos-sp	urn:cts:greekLit:tlg0592.tlg005	tlg0592.tlg005
hermogenes.peri-sta-sewn	urn:cts:greekLit:tlg0592.tlg002	tlg0592.tlg002
hermogenes.progymnasmata-dub	urn:cts:greekLit:tlg0592.tlg001	tlg0592.tlg001
herodas.mimiambi	urn:cts:greekLit:tlg0650.tlg001	tlg0650.tlg001
herodianus.ab-excessu-divi-marci	urn:cts:greekLit:tlg0015.tlg001	tlg0015.tlg001
herodorus.fragmenta	urn:cts:greekLit:tlg1427.tlg001	tlg1427.tlg001
herodotus.historiae	urn:cts:greekLit:tlg0016.tlg001	tlg0016.tlg001
heron.belopoeica	urn:cts:greekLit:tlg0559.tlg012	tlg0559.tlg012
heron.catoptrica	urn:cts:greekLit:tlg0559.tlg005	tlg0559.tlg005
heron.de-automatis	urn:cts:greekLit:tlg0559.tlg002	tlg0559.tlg002
heron.de-mensuris	urn:cts:greekLit:tlg0559.tlg011	tlg0559.tlg011
heron.definitiones	urn:cts:greekLit:tlg0559.tlg008	tlg0559.tlg008
heron.dioptra	urn:cts:greekLit:tlg0559.tlg007	tlg0559.tlg007
heron.fragmenta-heroniana	urn:cts:greekLit:tlg0559.tlg014	tlg0559.tlg014
heron.geodaesia-sp	urn:cts:greekLit:tlg0559.tlg015	tlg0559.tlg015
heron.geometrica	urn:cts:greekLit:tlg0559.tlg009	tlg0559.tlg009
heron.liber-geeponicus-sp	urn:cts:greekLit:tlg0559.tlg016	tlg0559.tlg016
heron.mechanicorum-fragmenta	urn:cts:greekLit:tlg0559.tlg004	tlg0559.tlg004
heron.metrica	urn:cts:greekLit:tlg0559.tlg006	tlg0559.tlg006
heron.pneumatica	urn:cts:greekLit:tlg0559.tlg001	tlg0559.tlg001
heron.stereometrica	urn:cts:greekLit:tlg0559.tlg010	tlg0559.tlg010
hesiodus.fragmenta	urn:cts:greekLit:tlg0020.tlg004	tlg0020.tlg004
hesiodus.opera-et-dies	urn:cts:greekLit:tlg0020.tlg002	tlg0020.tlg002
hesiodus.scutum	urn:cts:greekLit:tlg0020.tlg003	tlg0020.tlg003
hesiodus.theogonia	urn:cts:greekLit:tlg0020.tlg001	tlg0020.tlg001
hesychius-illustrius.fragmenta	urn:cts:greekLit:tlg2274.tlg007	tlg2274.tlg007
hesychius-lexicography.epistula-ad-eulogium	urn:cts:greekLit:tlg4085.tlg001	tlg4085.tlg001
hesychius-lexicography.lexicon-o	urn:cts:greekLit:tlg4085.tlg002	tlg4085.tlg002
hesychius-lexicography.lexicon-p-w	urn:cts:greekLit:tlg4085.tlg003	tlg4085.tlg003
hesychius-of-jerusalem.commentarius-magnus-in-psalmos		pta:pta0006.pta001
hicetas.testimonia	urn:cts:greekLit:tlg2240.tlg001	tlg2240.tlg001
hierocles-philosophy.hqikh-stoixei-wsis	urn:cts:greekLit:tlg1429.tlg001	tlg1429.tlg001
hieronymus-cardianus.fragmenta	urn:cts:greekLit:tlg1953.tlg003	tlg1953.tlg003
hieronymus.fragmenta	urn:cts:greekLit:tlg1953.tlg001	tlg1953.tlg001
hierotheus-alchemy.ieroqe-ou-peri-th-s-i-era-s-te-xnhs-e-cod-paris-b-n-gr	urn:cts:greekLit:tlg4331.tlg001	tlg4331.tlg001
himerius.declamationes-et-orationes	urn:cts:greekLit:tlg2051.tlg001	tlg2051.tlg001
hipparchus-astronomy.in-arati-et-eudoxi-phaenomena-commentariorum-libri-iii	urn:cts:greekLit:tlg1431.tlg003	tlg1431.tlg003
hipparchus-comedy.fragmenta	urn:cts:greekLit:tlg0468.tlg001	tlg0468.tlg001
hipparchus-philosophy.fragmentum	urn:cts:greekLit:tlg1432.tlg001	tlg1432.tlg001
hippasus.testimonia	urn:cts:greekLit:tlg2260.tlg001	tlg2260.tlg001
hippias-erythraeus.fragmenta	urn:cts:greekLit:tlg1435.tlg002	tlg1435.tlg002
hippias-soph.fragmenta-2	urn:cts:greekLit:tlg1434.tlg004	tlg1434.tlg004
hippias-soph.testimonia-2	urn:cts:greekLit:tlg1434.tlg003	tlg1434.tlg003
hippiatrica.appendices-ad-hippiatrica-berolinensia	urn:cts:greekLit:tlg0738.tlg002	tlg0738.tlg002
hippiatrica.hippiatrica-berolinensia	urn:cts:greekLit:tlg0738.tlg001	tlg0738.tlg001
hippocrates-et-corpus-hippocraticum.aphorismi	urn:cts:greekLit:tlg0627.tlg012	tlg0627.tlg012
hippocrates-et-corpus-hippocraticum.coa-praesagia	urn:cts:greekLit:tlg0627.tlg017	tlg0627.tlg017
hippocrates-et-corpus-hippocraticum.de-ae-re-aquis-et-locis	urn:cts:greekLit:tlg0627.tlg002	tlg0627.tlg002
hippocrates-et-corpus-hippocraticum.de-affectionibus	urn:cts:greekLit:tlg0627.tlg025	tlg0627.tlg025
hippocrates-et-corpus-hippocraticum.de-affectionibus-interioribus	urn:cts:greekLit:tlg0627.tlg032	tlg0627.tlg032
hippocrates-et-corpus-hippocraticum.de-alimento	urn:cts:greekLit:tlg0627.tlg046	tlg0627.tlg046
hippocrates-et-corpus-hippocraticum.de-anatome	urn:cts:greekLit:tlg0627.tlg040	tlg0627.tlg040
hippocrates-et-corpus-hippocraticum.de-arte	urn:cts:greekLit:tlg0627.tlg018	tlg0627.tlg018
hippocrates-et-corpus-hippocraticum.de-articulis	urn:cts:greekLit:tlg0627.tlg010	tlg0627.tlg010
hippocrates-et-corpus-hippocraticum.de-capitis-vulneribus	urn:cts:greekLit:tlg0627.tlg007	tlg0627.tlg007
hippocrates-et-corpus-hippocraticum.de-carnibus	urn:cts:greekLit:tlg0627.tlg043	tlg0627.tlg043
hippocrates-et-corpus-hippocraticum.de-corde	urn:cts:greekLit:tlg0627.tlg045	tlg0627.tlg045
hippocrates-et-corpus-hippocraticum.de-decente-habitu	urn:cts:greekLit:tlg0627.tlg050	tlg0627.tlg050
hippocrates-et-corpus-hippocraticum.de-dentitione	urn:cts:greekLit:tlg0627.tlg041	tlg0627.tlg041
hippocrates-et-corpus-hippocraticum.de-diaeta-acutorum-sp	urn:cts:greekLit:tlg0627.tlg005	tlg0627.tlg005
hippocrates-et-corpus-hippocraticum.de-diaeta-iiv	urn:cts:greekLit:tlg0627.tlg031	tlg0627.tlg031
hippocrates-et-corpus-hippocraticum.de-diaeta-in-morbis-acutis	urn:cts:greekLit:tlg0627.tlg004	tlg0627.tlg004
hippocrates-et-corpus-hippocraticum.de-diaeta-salubri	urn:cts:greekLit:tlg0627.tlg020	tlg0627.tlg020
hippocrates-et-corpus-hippocraticum.de-diebus-judicatoriis	urn:cts:greekLit:tlg0627.tlg053	tlg0627.tlg053
hippocrates-et-corpus-hippocraticum.de-exsectione-foetus	urn:cts:greekLit:tlg0627.tlg039	tlg0627.tlg039
hippocrates-et-corpus-hippocraticum.de-fistulis	urn:cts:greekLit:tlg0627.tlg030	tlg0627.tlg030
hippocrates-et-corpus-hippocraticum.de-flatibus	urn:cts:greekLit:tlg0627.tlg021	tlg0627.tlg021
hippocrates-et-corpus-hippocraticum.de-fracturis	urn:cts:greekLit:tlg0627.tlg009	tlg0627.tlg009
hippocrates-et-corpus-hippocraticum.de-genitura	urn:cts:greekLit:tlg0627.tlg024a	tlg0627.tlg024a
hippocrates-et-corpus-hippocraticum.de-glandulis	urn:cts:greekLit:tlg0627.tlg042	tlg0627.tlg042
hippocrates-et-corpus-hippocraticum.de-haemorrhoidibus	urn:cts:greekLit:tlg0627.tlg029	tlg0627.tlg029
hippocrates-et-corpus-hippocraticum.de-humidorum-usu	urn:cts:greekLit:tlg0627.tlg022	tlg0627.tlg022
hippocrates-et-corpus-hippocraticum.de-humoribus	urn:cts:greekLit:tlg0627.tlg015	tlg0627.tlg015
hippocrates-et-corpus-hippocraticum.de-judicationibus	urn:cts:greekLit:tlg0627.tlg052	tlg0627.tlg052
hippocrates-et-corpus-hippocraticum.de-locis-in-homine	urn:cts:greekLit:tlg0627.tlg026	tlg0627.tlg026
hippocrates-et-corpus-hippocraticum.de-medico	urn:cts:greekLit:tlg0627.tlg049	tlg0627.tlg049
hippocrates-et-corpus-hippocraticum.de-morbis-iiii	urn:cts:greekLit:tlg0627.tlg023	tlg0627.tlg023
hippocrates-et-corpus-hippocraticum.de-morbis-popularibus-epidemiae	urn:cts:greekLit:tlg0627.tlg006	tlg0627.tlg006
hippocrates-et-corpus-hippocraticum.de-morbo-sacro	urn:cts:greekLit:tlg0627.tlg027	tlg0627.tlg027
hippocrates-et-corpus-hippocraticum.de-mulierum-affectibus-iiii	urn:cts:greekLit:tlg0627.tlg036	tlg0627.tlg036
hippocrates-et-corpus-hippocraticum.de-natura-hominis	urn:cts:greekLit:tlg0627.tlg019	tlg0627.tlg019
hippocrates-et-corpus-hippocraticum.de-natura-muliebri	urn:cts:greekLit:tlg0627.tlg033	tlg0627.tlg033
hippocrates-et-corpus-hippocraticum.de-natura-pueri	urn:cts:greekLit:tlg0627.tlg024b	tlg0627.tlg024b
hippocrates-et-corpus-hippocraticum.de-octimestri-partu	urn:cts:greekLit:tlg0627.tlg035	tlg0627.tlg035
hippocrates-et-corpus-hippocraticum.de-officina-medici	urn:cts:greekLit:tlg0627.tlg008	tlg0627.tlg008
hippocrates-et-corpus-hippocraticum.de-ossium-natura	urn:cts:greekLit:tlg0627.tlg048	tlg0627.tlg048
hippocrates-et-corpus-hippocraticum.de-prisca-medicina	urn:cts:greekLit:tlg0627.tlg001	tlg0627.tlg001
hippocrates-et-corpus-hippocraticum.de-superfetatione	urn:cts:greekLit:tlg0627.tlg038	tlg0627.tlg038
hippocrates-et-corpus-hippocraticum.de-ulceribus	urn:cts:greekLit:tlg0627.tlg028	tlg0627.tlg028
hippocrates-et-corpus-hippocraticum.de-virginum-morbis	urn:cts:greekLit:tlg0627.tlg037	tlg0627.tlg037
hippocrates-et-corpus-hippocraticum.de-visu	urn:cts:greekLit:tlg0627.tlg047	tlg0627.tlg047
hippocrates-et-corpus-hippocraticum.epistulae	urn:cts:greekLit:tlg0627.tlg055	tlg0627.tlg055
hippocrates-et-corpus-hippocraticum.jusjurandum	urn:cts:greekLit:tlg0627.tlg013	tlg0627.tlg013
hippocrates-et-corpus-hippocraticum.lex	urn:cts:greekLit:tlg0627.tlg014	tlg0627.tlg014
hippocrates-et-corpus-hippocraticum.praeceptiones	urn:cts:greekLit:tlg0627.tlg051	tlg0627.tlg051
hippocrates-et-corpus-hippocraticum.prognosticon	urn:cts:greekLit:tlg0627.tlg003	tlg0627.tlg003
hippocrates-et-corpus-hippocraticum.prorrheticon	urn:cts:greekLit:tlg0627.tlg016	tlg0627.tlg016
hippocrates-et-corpus-hippocraticum.vectiarius	urn:cts:greekLit:tlg0627.tlg011	tlg0627.tlg011
hippocrates.testimonia	urn:cts:greekLit:tlg2235.tlg001	tlg2235.tlg001
hippodamus.fragmenta-sp	urn:cts:greekLit:tlg1436.tlg001	tlg1436.tlg001
hippolytus-of-rome.commentarii-in-danielem		pta:pta0037.pta001
hippolytus.refutatio-omnium-haeresium-philosophumena	urn:cts:greekLit:tlg2115.tlg060	tlg2115.tlg060
hippon.testimonia	urn:cts:greekLit:tlg1437.tlg001	tlg1437.tlg001
hipponax.fragmenta	urn:cts:greekLit:tlg0233.tlg001	tlg0233.tlg001
hippostratus.fragmenta	urn:cts:greekLit:tlg2391.tlg003	tlg2391.tlg003
hippys.fragmenta	urn:cts:greekLit:tlg1438.tlg003	tlg1438.tlg003
homerica.versus-heroici	urn:cts:greekLit:tlg1802.tlg001	tlg1802.tlg001
homerus-epic.epigrammata	urn:cts:greekLit:tlg0012.tlg003	tlg0012.tlg003
homerus-epic.ilias	urn:cts:greekLit:tlg0012.tlg001	tlg0012.tlg001
homerus-epic.odyssea	urn:cts:greekLit:tlg0012.tlg002	tlg0012.tlg002
horapollo.hieroglyphica-translatio-philippi	urn:cts:greekLit:tlg2052.tlg001	tlg2052.tlg001
hymni-homerici.fragmenta-hymni-in-bacchum	urn:cts:greekLit:tlg0013.tlg001	tlg0013.tlg001
hymni-homerici.in-aesculapium	urn:cts:greekLit:tlg0013.tlg016	tlg0013.tlg016
hymni-homerici.in-apollinem	urn:cts:greekLit:tlg0013.tlg021	tlg0013.tlg021
hymni-homerici.in-apollinem-fort-auctore-cynaetho-chio	urn:cts:greekLit:tlg0013.tlg003	tlg0013.tlg003
hymni-homerici.in-bacchum	urn:cts:greekLit:tlg0013.tlg007	tlg0013.tlg007
hymni-homerici.in-bacchum-2	urn:cts:greekLit:tlg0013.tlg026	tlg0013.tlg026
hymni-homerici.in-cererem	urn:cts:greekLit:tlg0013.tlg002	tlg0013.tlg002
hymni-homerici.in-cererem-2	urn:cts:greekLit:tlg0013.tlg013	tlg0013.tlg013
hymni-homerici.in-dianam	urn:cts:greekLit:tlg0013.tlg009	tlg0013.tlg009
hymni-homerici.in-dianam-2	urn:cts:greekLit:tlg0013.tlg027	tlg0013.tlg027
hymni-homerici.in-dioscuros	urn:cts:greekLit:tlg0013.tlg017	tlg0013.tlg017
hymni-homerici.in-dioscuros-2	urn:cts:greekLit:tlg0013.tlg033	tlg0013.tlg033
hymni-homerici.in-herculem	urn:cts:greekLit:tlg0013.tlg015	tlg0013.tlg015
hymni-homerici.in-jovem	urn:cts:greekLit:tlg0013.tlg023	tlg0013.tlg023
hymni-homerici.in-junonem	urn:cts:greekLit:tlg0013.tlg012	tlg0013.tlg012
hymni-homerici.in-lunam	urn:cts:greekLit:tlg0013.tlg032	tlg0013.tlg032
hymni-homerici.in-martem	urn:cts:greekLit:tlg0013.tlg008	tlg0013.tlg008
hymni-homerici.in-matrem-deorum	urn:cts:greekLit:tlg0013.tlg014	tlg0013.tlg014
hymni-homerici.in-mercurium	urn:cts:greekLit:tlg0013.tlg004	tlg0013.tlg004
hymni-homerici.in-mercurium-2	urn:cts:greekLit:tlg0013.tlg018	tlg0013.tlg018
hymni-homerici.in-minervam	urn:cts:greekLit:tlg0013.tlg011	tlg0013.tlg011
hymni-homerici.in-minervam-2	urn:cts:greekLit:tlg0013.tlg028	tlg0013.tlg028
hymni-homerici.in-musas-et-apollinem	urn:cts:greekLit:tlg0013.tlg025	tlg0013.tlg025
hymni-homerici.in-neptunum	urn:cts:greekLit:tlg0013.tlg022	tlg0013.tlg022
hymni-homerici.in-pana	urn:cts:greekLit:tlg0013.tlg019	tlg0013.tlg019
hymni-homerici.in-solem	urn:cts:greekLit:tlg0013.tlg031	tlg0013.tlg031
hymni-homerici.in-tellurem-matrem-omnium	urn:cts:greekLit:tlg0013.tlg030	tlg0013.tlg030
hymni-homerici.in-venerem	urn:cts:greekLit:tlg0013.tlg005	tlg0013.tlg005
hymni-homerici.in-venerem-2	urn:cts:greekLit:tlg0013.tlg006	tlg0013.tlg006
hymni-homerici.in-venerem-3	urn:cts:greekLit:tlg0013.tlg010	tlg0013.tlg010
hymni-homerici.in-vestam	urn:cts:greekLit:tlg0013.tlg024	tlg0013.tlg024
hymni-homerici.in-vestam-2	urn:cts:greekLit:tlg0013.tlg029	tlg0013.tlg029
hymni-homerici.in-volcanum	urn:cts:greekLit:tlg0013.tlg020	tlg0013.tlg020
hyperides.epitaphius	urn:cts:greekLit:tlg0030.tlg006	tlg0030.tlg006
hyperides.in-athenogenem	urn:cts:greekLit:tlg0030.tlg005	tlg0030.tlg005
hyperides.in-demosthenem	urn:cts:greekLit:tlg0030.tlg001	tlg0030.tlg001
hyperides.in-philippidem	urn:cts:greekLit:tlg0030.tlg004	tlg0030.tlg004
hyperides.pro-euxenippo	urn:cts:greekLit:tlg0030.tlg003	tlg0030.tlg003
hyperides.pro-lycophrone	urn:cts:greekLit:tlg0030.tlg002	tlg0030.tlg002
hypermenes.fragmenta	urn:cts:greekLit:tlg2277.tlg002	tlg2277.tlg002
hyperochus.fragmenta	urn:cts:greekLit:tlg2396.tlg003	tlg2396.tlg003
iamblichus-alchemy.fragmenta-alchemica-e-cod-paris-b-n-gr-2327-fol-266r	urn:cts:greekLit:tlg2140.tlg001	tlg2140.tlg001
iamblichus-philosophy.de-communi-mathematica-scientia	urn:cts:greekLit:tlg2023.tlg003	tlg2023.tlg003
iamblichus-philosophy.de-mysteriis	urn:cts:greekLit:tlg2023.tlg006	tlg2023.tlg006
iamblichus-philosophy.de-vita-pythagorica	urn:cts:greekLit:tlg2023.tlg001	tlg2023.tlg001
iamblichus-philosophy.in-nicomachi-arithmeticam-introductionem	urn:cts:greekLit:tlg2023.tlg004	tlg2023.tlg004
iamblichus-philosophy.protrepticus	urn:cts:greekLit:tlg2023.tlg002	tlg2023.tlg002
iamblichus-scr-erot.babyloniaca	urn:cts:greekLit:tlg1441.tlg001	tlg1441.tlg001
ibycus.fragmenta	urn:cts:greekLit:tlg0293.tlg001	tlg0293.tlg001
iccus.testimonia	urn:cts:greekLit:tlg2226.tlg001	tlg2226.tlg001
idaeus-philosophy.testimonium	urn:cts:greekLit:tlg2304.tlg001	tlg2304.tlg001
idomeneus.fragmenta	urn:cts:greekLit:tlg1442.tlg004	tlg1442.tlg004
ignatius-scr-eccl.epistulae-interpolatae-et-epistulae-suppositiciae-recensio-longior	urn:cts:greekLit:tlg1443.tlg002	tlg1443.tlg002
ignatius-scr-eccl.epistulae-vii-genuinae-recensio-media	urn:cts:greekLit:tlg1443.tlg001	tlg1443.tlg001
ilias-parva.ilias-parva-fragmenta	urn:cts:greekLit:tlg1444.tlg001	tlg1444.tlg001
iliu-persis.iliu-persis-fragmenta	urn:cts:greekLit:tlg1445.tlg001	tlg1445.tlg001
ion-philosophy.fragmenta	urn:cts:greekLit:tlg0308.tlg001	tlg0308.tlg001
ion-philosophy.testimonia-2	urn:cts:greekLit:tlg0308.tlg008	tlg0308.tlg008
iophon.fragmenta	urn:cts:greekLit:tlg0311.tlg001	tlg0311.tlg001
irenaeus.adversus-haereses-libri-1-2	urn:cts:greekLit:tlg1447.tlg001	tlg1447.tlg001
irenaeus.fragmenta-synodicae-epistulae	urn:cts:greekLit:tlg1447.tlg009	tlg1447.tlg009
isaeus.de-apollodoro	urn:cts:greekLit:tlg0017.tlg007	tlg0017.tlg007
isaeus.de-aristarcho	urn:cts:greekLit:tlg0017.tlg010	tlg0017.tlg010
isaeus.de-astyphilo	urn:cts:greekLit:tlg0017.tlg009	tlg0017.tlg009
isaeus.de-cirone	urn:cts:greekLit:tlg0017.tlg008	tlg0017.tlg008
isaeus.de-cleonymo	urn:cts:greekLit:tlg0017.tlg001	tlg0017.tlg001
isaeus.de-dicaeogene	urn:cts:greekLit:tlg0017.tlg005	tlg0017.tlg005
isaeus.de-hagnia	urn:cts:greekLit:tlg0017.tlg011	tlg0017.tlg011
isaeus.de-menecle	urn:cts:greekLit:tlg0017.tlg002	tlg0017.tlg002
isaeus.de-nicostrato	urn:cts:greekLit:tlg0017.tlg004	tlg0017.tlg004
isaeus.de-philoctemone	urn:cts:greekLit:tlg0017.tlg006	tlg0017.tlg006
isaeus.de-pyrrho	urn:cts:greekLit:tlg0017.tlg003	tlg0017.tlg003
isaeus.pro-euphileto	urn:cts:greekLit:tlg0017.tlg012	tlg0017.tlg012
isidore-charax.mansiones-parthicae	urn:cts:greekLit:tlg0070.tlg001	tlg0070.tlg001
isidorus-scholasticus-anthol-didot	urn:cts:greekLit:tlg4052.tlg001	tlg4052.tlg001
isigonus-nicaeensis.fragmenta	urn:cts:greekLit:tlg1083.tlg002	tlg1083.tlg002
isocrates.ad-alexandrum-epist-5	urn:cts:greekLit:tlg0010.tlg028	tlg0010.tlg028
isocrates.ad-antipatrum-epist-4	urn:cts:greekLit:tlg0010.tlg029	tlg0010.tlg029
isocrates.ad-archidamum-epist-9	urn:cts:greekLit:tlg0010.tlg024	tlg0010.tlg024
isocrates.ad-demonicum-orat-1	urn:cts:greekLit:tlg0010.tlg007	tlg0010.tlg007
isocrates.ad-dionysium-epist-1	urn:cts:greekLit:tlg0010.tlg022	tlg0010.tlg022
isocrates.ad-filios-jasonis-epist-6	urn:cts:greekLit:tlg0010.tlg023	tlg0010.tlg023
isocrates.ad-nicoclem-orat-2	urn:cts:greekLit:tlg0010.tlg013	tlg0010.tlg013
isocrates.ad-philippum-epist-2	urn:cts:greekLit:tlg0010.tlg027	tlg0010.tlg027
isocrates.ad-philippum-epist-3	urn:cts:greekLit:tlg0010.tlg030	tlg0010.tlg030
isocrates.ad-reges-mytilenaeos-epist-8	urn:cts:greekLit:tlg0010.tlg025	tlg0010.tlg025
isocrates.ad-timotheum-epist-7	urn:cts:greekLit:tlg0010.tlg026	tlg0010.tlg026
isocrates.aegineticus-orat-19	urn:cts:greekLit:tlg0010.tlg006	tlg0010.tlg006
isocrates.antidosis-orat-15	urn:cts:greekLit:tlg0010.tlg019	tlg0010.tlg019
isocrates.archidamus-orat-6	urn:cts:greekLit:tlg0010.tlg016	tlg0010.tlg016
isocrates.areopagiticus-orat-7	urn:cts:greekLit:tlg0010.tlg018	tlg0010.tlg018
isocrates.busiris-orat-11	urn:cts:greekLit:tlg0010.tlg010	tlg0010.tlg010
isocrates.de-bigis-orat-16	urn:cts:greekLit:tlg0010.tlg004	tlg0010.tlg004
isocrates.de-pace-orat-8	urn:cts:greekLit:tlg0010.tlg017	tlg0010.tlg017
isocrates.evagoras-orat-9	urn:cts:greekLit:tlg0010.tlg015	tlg0010.tlg015
isocrates.helenae-encomium-orat-10	urn:cts:greekLit:tlg0010.tlg009	tlg0010.tlg009
isocrates.in-callimachum-orat-18	urn:cts:greekLit:tlg0010.tlg002	tlg0010.tlg002
isocrates.in-euthynum-orat-21	urn:cts:greekLit:tlg0010.tlg001	tlg0010.tlg001
isocrates.in-lochitem-orat-20	urn:cts:greekLit:tlg0010.tlg003	tlg0010.tlg003
isocrates.in-sophistas-orat-13	urn:cts:greekLit:tlg0010.tlg008	tlg0010.tlg008
isocrates.nicocles-orat-3	urn:cts:greekLit:tlg0010.tlg014	tlg0010.tlg014
isocrates.panathenaicus-orat-12	urn:cts:greekLit:tlg0010.tlg021	tlg0010.tlg021
isocrates.panegyricus-orat-4	urn:cts:greekLit:tlg0010.tlg011	tlg0010.tlg011
isocrates.philippus-orat-5	urn:cts:greekLit:tlg0010.tlg020	tlg0010.tlg020
isocrates.plataicus-orat-14	urn:cts:greekLit:tlg0010.tlg012	tlg0010.tlg012
isocrates.trapeziticus-orat-17	urn:cts:greekLit:tlg0010.tlg005	tlg0010.tlg005
ister.fragmenta	urn:cts:greekLit:tlg1450.tlg004	tlg1450.tlg004
isyllus.fragmenta-ig-4-950	urn:cts:greekLit:tlg0201.tlg001	tlg0201.tlg001
jacobs-anthologia-graeca-t13.appendix-epigrammatum		note:edition-scoped work: Jacobs, Anth. Gr. Tom. XIII (Animadversiones III.3, Leipzig 1814); no tlg urn
joannes-antiochenus.fragmenta	urn:cts:greekLit:tlg4394.tlg001	tlg4394.tlg001
joannes-archiereus.iwa-nnou-rxiere-ws-tou-e-n-ebeigi-peri-th-s-qei-as-te-xnhs	urn:cts:greekLit:tlg4327.tlg001	tlg4327.tlg001
joannes-cameniates.de-expugnatione-thessalonicae	urn:cts:greekLit:tlg3015.tlg001	tlg3015.tlg001
joannes-chrysostomus.ad-demetrium-de-compunctione-lib-1	urn:cts:greekLit:tlg2062.tlg004	tlg2062.tlg004
joannes-chrysostomus.ad-eos-qui-scandalizati-sunt	urn:cts:greekLit:tlg2062.tlg087	tlg2062.tlg087
joannes-chrysostomus.ad-illuminandos-catecheses-1-2-series-prima-et-secunda	urn:cts:greekLit:tlg2062.tlg025	tlg2062.tlg025
joannes-chrysostomus.ad-populum-antiochenum-homiliae-1-21	urn:cts:greekLit:tlg2062.tlg024	tlg2062.tlg024
joannes-chrysostomus.ad-stagirium-daemone-vexatum-lib-1-3	urn:cts:greekLit:tlg2062.tlg006	tlg2062.tlg006
joannes-chrysostomus.ad-stelechium-de-compunctione-lib-2	urn:cts:greekLit:tlg2062.tlg005	tlg2062.tlg005
joannes-chrysostomus.ad-theodorum-lapsum-lib-1	urn:cts:greekLit:tlg2062.tlg002	tlg2062.tlg002
joannes-chrysostomus.ad-theodorum-lapsum-lib-2-epistula-ad-theodorum	urn:cts:greekLit:tlg2062.tlg001	tlg2062.tlg001
joannes-chrysostomus.ad-viduam-juniorem	urn:cts:greekLit:tlg2062.tlg010	tlg2062.tlg010
joannes-chrysostomus.adversus-ebriosos-et-de-resurrectione-domini-nostri-jesu-christi	urn:cts:greekLit:tlg2062.tlg035	tlg2062.tlg035
joannes-chrysostomus.adversus-judaeos-orationes-1-8	urn:cts:greekLit:tlg2062.tlg021	tlg2062.tlg021
joannes-chrysostomus.adversus-oppugnatores-vitae-monasticae-lib-1-3	urn:cts:greekLit:tlg2062.tlg003	tlg2062.tlg003
