slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	sha256
galenus.quos-quibus-catharticis-medicamentis-et-quando-purgare-oporteat-ap	ogc001531	Quos Quibus Catharticis Medicamentis Et Quando Purgare Oporteat (Ap	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg073	tlg0057.tlg073		first1k	1st1K-grc1	CC-BY-SA-4.0	1	1987	1981	not-ocr		logical-numeric	ref	1	333a441d6815f5a97361ffb48f69b6963d422a51745c93430176198d1ac5ee93
galenus.synopsis-librorum-suorum-de-pulsibus	ogc001532	Synopsis Librorum Suorum De Pulsibus	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg063	tlg0057.tlg063		first1k	1st1K-grc1	CC-BY-SA-4.0	28	15680	15616	not-ocr		logical-numeric	ref	1	185d420a3f1f846b880871bc73e2c884f3ff606f12fac87d8c0ced826c1b6037
galenus.thrasybulus-sive-utrum-medicinae-sit-gymnasticae-hygieine	ogc001533	Thrasybulus Sive Utrum Medicinae Sit An Gymnasticae Hygieine	Galenus	oga000638	urn:cts:greekLit:tlg0057.tlg033	tlg0057.tlg033		first1k	1st1K-grc1	CC-BY-SA-4.0	47	13822	13727	not-ocr		logical-numeric	ref	1	b52da6cf5b34289fd5ac94624b6714a15adfcae05a113fad831cc5635154818a
gaudentius.harmonica-introductio	ogc001534	Harmonica introductio	gaudentius	oga000639	urn:cts:greekLit:tlg2137.tlg001	tlg2137.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	24	4814	4773	not-ocr		logical-numeric	ref	1	52a97facde5eca786e55758ad9baffa5b56e7162eef2392a2abbc10f3a6a31af
gelasius.historia-ecclesiastica	ogc001535	Historia Ecclesiastica	gelasius	oga000640	urn:cts:greekLit:tlg2768.tlg001	tlg2768.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	965	50902	50289	not-ocr		logical-numeric	ref.sub.sub	3	01811d83fee6dafdf5a9baada47e01a6085167f91d285ce97391c072bec73b86
geminus.elementa-astronomiae	ogc001536	Elementa Astronomiae	Geminus	oga000641	urn:cts:greekLit:tlg1383.tlg001	tlg1383.tlg001	Q111686266	first1k	1st1K-grc1	CC-BY-SA-4.0	524	20525	20384	not-ocr		logical-numeric	ref.sub	2	f84b88bcb5e82e6a518a882f632a1f733ce3b5e69980c4f17132d88717ee623c
geoponica.geoponica	ogc001537	Geoponica	Geoponica	oga000642	urn:cts:greekLit:tlg4080.tlg001	tlg4080.tlg001		ocr	qwen36-geoponica_beckh	PD	16715	124636	114911	auto-corrected	0.253377	edition-prefixed			1919947190ca438c99a1dd6f6e6ed766395f00b0ad2ba1532f86d0df2e399e02
georgius-acropolites.annales	ogc001538	Annales	Georgius Acropolites	oga000643	urn:cts:greekLit:tlg3141.tlg002	tlg3141.tlg002		byzantium_gr	byzantium-gr	PD	99	38695	38141	not-ocr		logical-numeric	ref	1	a49680e7a63b211f856d1cdc3bfe296c964b163998d377b43363021936202a11
georgius-acropolites.contra-latinos	ogc001539	Contra Latinos	Georgius Acropolites	oga000643	urn:cts:greekLit:tlg3141.tlg010	tlg3141.tlg010		byzantium_gr	byzantium-gr	PD	46	10402	10242	not-ocr		logical-numeric	ref.sub	2	3a26cc9bb2fd649368436abc6431752b5b052b922dc733efb927cb9a5bfb1060
georgius-cedrenus.compendium-historiarum	ogc001540	Compendium Historiarum	Georgius Cedrenus	oga000644	urn:cts:greekLit:tlg3018.tlg001	tlg3018.tlg001		cgpg	cgpg	CC-BY-4.0	750	291998	283818	manual	0.058666	mixed			286c5390172394b9d912704f79c3cc88a04db802387d18542ad48ebeef4bb031
