slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	sha256
basilius-theology.consolatoria-ad-aegrotum-sp-sub-auctore-proclo	ogc000608	Consolatoria Ad Aegrotum Sp. (Sub Auctore Proclo)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg068	tlg2040.tlg068		ocr	migne-ocr-qwen36	PD	501	4800	4542	auto-corrected	0.183660	edition-prefixed			657a0ebffc43659febe8230567b72d2204344a4c378bd3b12382935b0069aca4
basilius-theology.constitutiones-asceticae-sp	ogc000609	Constitutiones Asceticae Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg074	tlg2040.tlg074		ocr	migne-ocr-qwen36	PD	557	17864	17205	auto-corrected	0.135029	edition-prefixed			2e51c16262f89c468845d5dc0f1ffb0cc3a61c6ab872c66a5e701e995dc86c13
basilius-theology.contra-sabellianos-et-arium-et-anomoeos	ogc000610	Contra Sabellianos Et Arium Et Anomoeos	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg039	tlg2040.tlg039		ocr	migne-ocr-qwen36	PD	19	2681	2627	raw-ocr	0.048684	edition-prefixed			87414d78ca21a81c0282dd6055fb3231a0cca4cc09c0df4515bde637cf417e2d
basilius-theology.de-baptismo-libri-duo	ogc000611	De Baptismo Libri Duo	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg052	tlg2040.tlg052		ocr	migne-ocr-qwen36	PD	580	20741	20397	auto-corrected	0.075951	edition-prefixed			cf6335f8ee2430c20871aa4552ae34f4aa3569f4a3e907b25f26462cdb154cab
basilius-theology.de-fide	ogc000612	De Fide	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg031	tlg2040.tlg031		ocr	migne-ocr-qwen36	PD	7	1017	993	raw-ocr	0.087613	edition-prefixed			937bf9e8f8cd58cb7637b58fe97136f9f7f248ff0b508c88629f5d4b926c6136
basilius-theology.de-humilitate	ogc000613	De Humilitate	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg036	tlg2040.tlg036		ocr	migne-ocr-qwen36	PD	16	2097	2034	auto-corrected	0.063862	edition-prefixed			a7c4a6f1f84db6c3a3c838beab2555cae71ccd4669719167ce97df51b8e8b3d5
basilius-theology.de-jejunio-homilia-1	ogc000614	De Jejunio (Homilia 1)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg020	tlg2040.tlg020		ocr	migne-ocr-qwen36	PD	138	2866	2737	auto-corrected	0.161111	edition-prefixed			066413d7bd13daf37d7ac4bc50be6e8c420c59215ef0685095837172f669a4b2
basilius-theology.de-jejunio-homilia-2	ogc000615	De Jejunio (Homilia 2)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg021	tlg2040.tlg021		ocr	migne-ocr-qwen36	PD	273	12460	11938	auto-corrected	0.151703	edition-prefixed			1beba35a54da6e2c85ddeaecf4c29c7a716d844af854e55df66eb2b67f9dec52
basilius-theology.de-jejunio-homilia-3-sp	ogc000616	De Jejunio (Homilia 3) Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg063	tlg2040.tlg063		ocr	migne-ocr-qwen36	PD	56	1049	1026	auto-corrected	0.089922	edition-prefixed			bcc78b746e40586e6c63efff6096aec9dcd0f8cad0a820d765517440f5bf6f5c
basilius-theology.de-legendis-gentilium-libris	ogc000617	De Legendis Gentilium Libris	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg002	tlg2040.tlg002		perseus	perseus-grc2	CC-BY-SA-4.0	105	4685	4659	not-ocr		logical-numeric	ref.sub	2	e9715d08e94fa0489dd6b61b9eeb83bfd621f328042174fc674771e89b81a009
basilius-theology.de-spiritu-sancto	ogc000618	De Spiritu Sancto	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg003	tlg2040.tlg003		ocr	migne-ocr-qwen36	PD	588	23765	23012	auto-corrected	0.117815	edition-prefixed			bbf579b3721911e88c7596116930f3e1569f727ced76987c459d629a38f3a990
basilius-theology.enarratio-in-prophetam-isaiam-dub	ogc000619	Enarratio In Prophetam Isaiam Dub.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg009	tlg2040.tlg009		ocr	migne-ocr-qwen36	PD	1625	91458	87897	auto-corrected	0.139566	edition-prefixed			042a58fe3bde469a6ec0f0692e8032223499b750a13d3c67d4fac0c8e66b4737
basilius-theology.epistulae	ogc000620	Epistulae	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg004	tlg2040.tlg004		perseus	perseus-grc2	CC-BY-SA-4.0	516	133871	132714	not-ocr		mixed			528ba658da122889bba95be1bad3b34b6a2cc230ff5ecadec3e11c8266430e2f
basilius-theology.epitimia-in-canonicas-epitimia-25-dub	ogc000621	Epitimia In Canonicas (Epitimia 25) Dub.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg066	tlg2040.tlg066		ocr	migne-ocr-qwen36	PD	53	814	780	auto-corrected	0.136179	edition-prefixed			e9e6a03abd3c1a5517adfdc864405a617961c8d9cefc526670a31a956ed3823a
basilius-theology.homilia-adversus-eos-qui-irascuntur	ogc000622	Homilia Adversus Eos Qui Irascuntur	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg026	tlg2040.tlg026		ocr	migne-ocr-qwen36	PD	214	3221	3054	auto-corrected	0.184710	edition-prefixed			22ce88527a6acd74d971487b5a8750ae6e774b8ec6ac74b3c549ff242267b4b9
basilius-theology.homilia-de-invidia	ogc000623	Homilia De Invidia	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg027	tlg2040.tlg027		ocr	migne-ocr-qwen36	PD	160	2581	2480	auto-corrected	0.140615	edition-prefixed			84aef80e0ad61678a383178008b47f190423a633ba56382fb08db4d0f69a29d9
basilius-theology.homilia-de-misericordia-et-judicio-sp	ogc000624	Homilia De Misericordia Et Judicio Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg069	tlg2040.tlg069		ocr	migne-ocr-qwen36	PD	15	1043	1000	raw-ocr	0.267776	edition-prefixed			d220f09db199672dd74794c2dee67a9df9a450f848b1959a98037357d524bff4
basilius-theology.homilia-de-spiritu-sancto-sp	ogc000625	Homilia De Spiritu Sancto Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg057	tlg2040.tlg057		ocr	migne-ocr-qwen36	PD	8	1534	1480	raw-ocr	0.110734	edition-prefixed			1f4ac1e054f205bdf7897d62d6befba6b41d06c12645f8ab94afde76ff6cb8ab
basilius-theology.homilia-dicta-in-lacisis	ogc000626	Homilia Dicta In Lacisis	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg058	tlg2040.tlg058		ocr	migne-ocr-qwen36	PD	21	3185	3059	raw-ocr	0.148525	edition-prefixed			0e13406a6cdbdf969e620273cb8bf3392b5a7446d3f5621ff31a1edd1566021e
basilius-theology.homilia-dicta-tempore-famis-et-siccitatis	ogc000627	Homilia Dicta Tempore Famis Et Siccitatis	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg024	tlg2040.tlg024		ocr	migne-ocr-qwen36	PD	73	4164	3954	auto-corrected	0.173791	edition-prefixed			5bf32776db0dd5b729ef7c45da24e280d6cffff7810d0e3bd0fc1d9830af2e42
basilius-theology.homilia-exhortatoria-ad-sanctum-baptisma	ogc000628	Homilia Exhortatoria Ad Sanctum Baptisma	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg029	tlg2040.tlg029		ocr	migne-ocr-qwen36	PD	63	2426	2311	auto-corrected	0.157754	edition-prefixed			8b7bb2afbd6cdd8823bf8d156931bd19bb28e1a3e9598ebc4932e23c57c220a2
basilius-theology.homilia-in-divites	ogc000629	Homilia In Divites	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg008	tlg2040.tlg008		ocr	migne-ocr-qwen36	PD	57	4383	4173	auto-corrected	0.149835	edition-prefixed			088056c7c30c54b5eb75cf656a36b613e9194459e15f6fb44cda2ab3790a6511
basilius-theology.homilia-in-illud-destruam-horrea-mea	ogc000630	Homilia In Illud: Destruam Horrea Mea	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg007	tlg2040.tlg007		ocr	migne-ocr-qwen36	PD	60	2594	2463	auto-corrected	0.173233	edition-prefixed			f6c3975f772c9a3c702d32f70c29d3e45e85c841ce4b0dd4e7d3170453780f53
basilius-theology.homilia-in-illud-ne-dederis-somnum-oculis-tuis-sp	ogc000631	Homilia In Illud: Ne Dederis Somnum Oculis Tuis Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg062	tlg2040.tlg062		ocr	migne-ocr-qwen36	PD	37	1560	1490	auto-corrected	0.178870	edition-prefixed			3fb13c34098bd1bbb55b92e704bb823d069256103c82c45b4db8ea5978e5c107
basilius-theology.homilia-in-principium-proverbiorum	ogc000632	Homilia In Principium Proverbiorum	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg028	tlg2040.tlg028		ocr	migne-ocr-qwen36	PD	88	6994	6708	auto-corrected	0.142622	edition-prefixed			4a369f91dc3f229816235097d240f8d45be6756d2a89a915ed26186025092447
basilius-theology.homilia-in-psalmum-37-sp	ogc000633	Homilia In Psalmum 37 Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg054	tlg2040.tlg054		ocr	migne-ocr-qwen36	PD	45	6380	6172	auto-corrected	0.130978	edition-prefixed			4f0e18ba8d24cec142255ef6d636eef4deb58441c138e39c2e2b4a88d1d095bd
basilius-theology.homiliae-in-hexaemeron	ogc000634	Homiliae In Hexaemeron	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg001	tlg2040.tlg001	Q29625575	ocr	migne-ocr-qwen36	PD	789	33668	32338	auto-corrected	0.148760	edition-prefixed			097461c71c94b677ef3e1db9093e5d204cc574cdf371eed1c86591a4be6cc8b4
basilius-theology.homiliae-super-psalmos	ogc000635	Homiliae Super Psalmos	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg018	tlg2040.tlg018		ocr	migne-ocr-qwen36	PD	1102	49924	48354	auto-corrected	0.124186	edition-prefixed			85a7c590d748c6c74e46b5285f4993c8f00e4fb2f683902d34321dba620ec390
basilius-theology.in-barlaam-martyrem-sp	ogc000636	In Barlaam Martyrem Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg033	tlg2040.tlg033		ocr	migne-ocr-qwen36	PD	20	670	631	auto-corrected	0.183908	edition-prefixed			9da71e80dd172c02d7196c3a3ffbf72db35ea374e80bb52d41d25b6aa7424654
basilius-theology.in-ebriosos	ogc000637	In Ebriosos	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg030	tlg2040.tlg030		ocr	migne-ocr-qwen36	PD	29	3427	3266	auto-corrected	0.158140	edition-prefixed			385822b2da824b00381014cd7ef36f765470f6e9427eaf9462679697ed91b887
basilius-theology.in-gordium-martyrem	ogc000638	In Gordium Martyrem	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg034	tlg2040.tlg034		ocr	migne-ocr-qwen36	PD	94	3483	3334	auto-corrected	0.147923	edition-prefixed			a01b7941c55f07df4b638f5165983be7dd952b8c7e7035a4e764911dd1cf912f
basilius-theology.in-illud-in-principio-erat-verbum	ogc000639	In Illud: In Principio Erat Verbum	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg032	tlg2040.tlg032		ocr	migne-ocr-qwen36	PD	25	2277	2212	raw-ocr	0.063282	edition-prefixed			f297f01da4e5763d64dd71d79fb5067f652902e5848da7754f274580049cdf22
basilius-theology.in-mamantem-martyrem	ogc000640	In Mamantem Martyrem	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg038	tlg2040.tlg038		ocr	migne-ocr-qwen36	PD	46	1698	1643	auto-corrected	0.123352	edition-prefixed			566265c62e11b6a9e6ad545891c236fc85691b29772d22e32c9de091b6d0bffe
basilius-theology.in-quadraginta-martyres-sebastenses	ogc000641	In Quadraginta Martyres Sebastenses	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg035	tlg2040.tlg035		ocr	migne-ocr-qwen36	PD	105	2155	2050	auto-corrected	0.144534	edition-prefixed			d55aa79cb913fbe4a7f27b73fab9304344382eb6c614e67e6b406bb4ebcce7cd
basilius-theology.in-sanctam-christi-generationem	ogc000642	In Sanctam Christi Generationem	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg059	tlg2040.tlg059		ocr	migne-ocr-qwen36	PD	129	5806	5647	auto-corrected	0.114366	edition-prefixed			1168bf6576b0fafbfc706639a6a25eecfc7261f21145820d939491ce8c0e383d
basilius-theology.liturgia-recensio-brevior-vetusta	ogc000643	Liturgia (Recensio Brevior Vetusta)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg071	tlg2040.tlg071		ocr	migne-ocr-qwen36	PD	318	4761	4677	auto-corrected	0.075945	edition-prefixed			56e1ac212063a84ae5f946230682397fb6f77d525e4d792c37e11d3889c4f855
basilius-theology.orationes-sive-exorcismi-sp	ogc000644	Orationes Sive Exorcismi Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg064	tlg2040.tlg064		ocr	migne-ocr-qwen36	PD	64	1318	1236	auto-corrected	0.178434	edition-prefixed			f7bb484daa45af0eecd0c797fb3bf04129c9ae863dfece8b46feb6f821b2fb8c
basilius-theology.poenae-in-monachos-delinquentes-epitimia-24-dub	ogc000645	Poenae In Monachos Delinquentes (Epitimia 24) Dub.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg065	tlg2040.tlg065		ocr	migne-ocr-qwen36	PD	16	268	259	raw-ocr	0.221519	edition-prefixed			1f6fdf0b0f70c541138a00c7c895007a1a325e6bbd68a96812feeb5d53358418
basilius-theology.prologus-3-prooemium-in-regulas-brevius-tractatas	ogc000646	Prologus 3 (Prooemium In Regulas Brevius Tractatas)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg049	tlg2040.tlg049		ocr	migne-ocr-qwen36	PD	14	588	584	raw-ocr	0.071225	edition-prefixed			727b80a6d9a77c80379788f74ee7fb20d170fe9debf1c74be9b753d8d9e770a2
basilius-theology.prologus-4-prooemium-in-asceticum-magnum	ogc000647	Prologus 4 (Prooemium In Asceticum Magnum)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg047	tlg2040.tlg047		ocr	migne-ocr-qwen36	PD	15	1941	1899	raw-ocr	0.107826	edition-prefixed			6308e84bf1df33fe78e36dded040095caae942eddf8ed8488912da5585c166e0
basilius-theology.prologus-5-sermo-asceticus-dub	ogc000648	Prologus 5 (Sermo Asceticus) Dub.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg046	tlg2040.tlg046		ocr	migne-ocr-qwen36	PD	13	2259	2195	auto-corrected	0.094605	edition-prefixed			2e3d28e88a46a38da58cb5f3c1318360ae4dffe663f588b0468b3fa2c033b0bc
basilius-theology.prologus-7-de-judicio-dei	ogc000649	Prologus 7 (De Judicio Dei)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg043	tlg2040.tlg043		ocr	migne-ocr-qwen36	PD	20	3190	3139	raw-ocr	0.037267	edition-prefixed			6a6a3d1c47d6191cc075c4a0549ddd495069162ab033a9557f4875e872463e6a
basilius-theology.prologus-8-de-fide	ogc000650	Prologus 8 (De Fide)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg045	tlg2040.tlg045		ocr	migne-ocr-qwen36	PD	149	3867	3789	auto-corrected	0.086073	edition-prefixed			398653a2b839ee9ba44e7248abb979991a7c36b959d12bc727e995c86a9c6ce8
basilius-theology.quod-deus-non-est-auctor-malorum	ogc000651	Quod Deus Non Est Auctor Malorum	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg025	tlg2040.tlg025		ocr	migne-ocr-qwen36	PD	78	3805	3700	auto-corrected	0.106475	edition-prefixed			ba44757df058775c7012745713f7ac90c7ce2b278b9f6af3eefde10219a6aa31
basilius-theology.quod-rebus-mundanis-adhaerendum-non-sit	ogc000652	Quod Rebus Mundanis Adhaerendum Non Sit	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg037	tlg2040.tlg037		ocr	migne-ocr-qwen36	PD	115	3945	3781	auto-corrected	0.139913	edition-prefixed			f21e84fe913255f2a89fbd469bf992bb7a8c7e42e5427ac63e8602780c175e24
basilius-theology.regulae-morales	ogc000653	Regulae Morales	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg051	tlg2040.tlg051		ocr	migne-ocr-qwen36	PD	1237	27318	26741	auto-corrected	0.088394	edition-prefixed			d0c8317af6da9ddaa37e61c2f95d26892ff69191e33b345639b45ca633733e8d
basilius-theology.sermo-10-praevia-institutio-ascetica-dub	ogc000654	Sermo 10 (Praevia Institutio Ascetica) Dub.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg040	tlg2040.tlg040		ocr	migne-ocr-qwen36	PD	61	848	818	auto-corrected	0.104478	edition-prefixed			2d75081ef8228dc8f328a681f372496515432bc5bf759a8aeaa39d8169b8bb77
basilius-theology.sermo-11-sermo-asceticus-et-exhortatio-de-renuntiatione-mundi	ogc000655	Sermo 11 (Sermo Asceticus Et Exhortatio De Renuntiatione Mundi)	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg041	tlg2040.tlg041		ocr	migne-ocr-qwen36	PD	567	9710	9315	auto-corrected	0.173285	edition-prefixed			47bca5005378f0c9a385bd76c2683a4da0b7c3a66e7e29805ce527a647f17988
basilius-theology.sermo-ob-sacerdotum-instructionem-recensio-brevior-sp	ogc000656	Sermo Ob Sacerdotum Instructionem (Recensio Brevior) Sp.	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg070	tlg2040.tlg070		ocr	migne-ocr-qwen36	PD	47	598	575	auto-corrected	0.128767	edition-prefixed			67434a0bbc6747b2b4f219c72aed97f88ec59641e7ac9c1db019c26c254a4899
basilius-theology.sermones-de-moribus-symeone-metaphrasta-collecti	ogc000657	Sermones De Moribus A Symeone Metaphrasta Collecti	Basilius	oga000281	urn:cts:greekLit:tlg2040.tlg075	tlg2040.tlg075		ocr	migne-ocr-qwen36	PD	1159	47923	45872	auto-corrected	0.157350	edition-prefixed			1157e7a8d91a1d84753f17c002143ed819b7faae8899dc45b524823413be871c
baton-sinopensis.fragmenta	ogc000658	Fragmenta	baton-sinopensis	oga000282				dfhg	dfhg	CC-BY-SA-4.0	8	631	625	not-ocr		logical-numeric	ref.sub	2	ec74dbe39ddd796a1cd1444e4c3904fb50226bca93a3a04e853d7cb972e50372
batrachomyomachia.batrachomyomachia	ogc000659	Batrachomyomachia	Batrachomyomachia	oga000283	urn:cts:greekLit:tlg1220.tlg001	tlg1220.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	312	2148	2102	not-ocr		logical-numeric	ref	1	0421a74bc529b1afb3d38b52ffb779ed70500aaa27b9dbb5fe2c1d0f935a2c17
bemarchius-caesariensis.fragmenta	ogc000660	Fragmenta	bemarchius-caesariensis	oga000284				dfhg	dfhg	CC-BY-SA-4.0	1	19	19	not-ocr		logical-numeric	ref.sub	2	e9e5f4f7b2143bb750f8da2b77ffbfe914fa3a4eef48cb51175c3785b4553472
beros-s-us.fragmenta	ogc000661	Fragmenta	Beros(S)Us	oga000285	urn:cts:greekLit:tlg1222.tlg001	tlg1222.tlg001		ocr	qwen36-demochares_fhg2-ocr	PD	27	1842	1739	auto-corrected	0.172265	edition-prefixed			205ce8c0d3c2543c754aa1ee8b4ee320b4f636e9b1bf45bf2ee298686f159617
berosus-chaldaeus.fragmenta	ogc000662	Fragmenta	berosus-chaldaeus	oga000286				dfhg	dfhg	CC-BY-SA-4.0	25	3183	3151	not-ocr		mixed			a2eadddc96edfb118ca5e57e9f3c836b56c32555d292f94008efd2f662d1793a
bion-bucolic.epitaphius-adonis	ogc000663	Epitaphius Adonis	Bion	oga000287	urn:cts:greekLit:tlg0036.tlg001	tlg0036.tlg001		perseus	perseus-grc2	CC-BY-SA-4.0	98	717	692	not-ocr		logical-numeric	ref	1	3565b0f37d90689b70199fe1b5b6a200a1af60340f6dd882948c714cfac43832
bion-bucolic.epithalamium-achillis-et-deidameiae-sp	ogc000664	Epithalamium Achillis Et Deidameiae Sp.	Bion	oga000287	urn:cts:greekLit:tlg0036.tlg002	tlg0036.tlg002		perseus	perseus-grc2	CC-BY-SA-4.0	32	225	206	not-ocr		logical-numeric	ref	1	67ad8f00b1040c543eb0168e27be0575936c268a3a83b63752bcc04fd899100e
bion-bucolic.fragmenta	ogc000665	Fragmenta	Bion	oga000287	urn:cts:greekLit:tlg0036.tlg003	tlg0036.tlg003		perseus	perseus-grc2	CC-BY-SA-4.0	116	855	817	not-ocr		logical-numeric	ref.sub	2	b42e18461d3d94556d8bc24d1bf599498412e6e74712bce523ee96d5aea69bcd
bion-history.fragmenta	ogc000666	Fragmenta	Bion	oga000288	urn:cts:greekLit:tlg1225.tlg003	tlg1225.tlg003		ocr	qwen36-socrates_hist_fhg4	PD	3	55	51	raw-ocr	0.150000	edition-prefixed			1b7e4c85e03d54107b1460c5504a7b1ad86e3777def17090135fb7be7bba2be3
bion-mathematics.testimonia	ogc000667	Testimonia	Bion	oga000289	urn:cts:greekLit:tlg2153.tlg001	tlg2153.tlg001		ocr	qwen36-nausiphanes_diels_fvs2	PD	4	94	93	raw-ocr	0.055556	edition-prefixed			280ee9971806a0e34b4a765670742f0aca50d6c8df5d6945db47714953342614
bion-philosophy.fragmenta	ogc000668	Fragmenta	Bion	oga000290	urn:cts:greekLit:tlg1224.tlg001	tlg1224.tlg001		ocr	qwen36-archytas_mullach_fpg2	PD	190	2673	2558	auto-corrected	0.158428	edition-prefixed			0fa479f1f4d2cd10e2f57f1367604b26d31cabae06b2cdf4c5de25ac0577701b
bion-proconnensis.fragmenta	ogc000669	Fragmenta	Bion	oga000291	urn:cts:greekLit:tlg1871.tlg003	tlg1871.tlg003		dfhg	dfhg	CC-BY-SA-4.0	2	63	63	not-ocr		logical-numeric	ref.sub	2	9044d138fd93382d6cc1314ddab6b16c2b63973e71a584276f33b64dc80e77ad
bion-solensis.fragmenta	ogc000670	Fragmenta	bion-solensis	oga000292				dfhg	dfhg	CC-BY-SA-4.0	3	96	93	not-ocr		logical-numeric	ref.sub	2	267e18ca322b7181331628916ee890b6be67c777d61ef6408a1c89fea5406cee
blaesus.fragmentum	ogc000671	Fragmentum	Blaesus	oga000293	urn:cts:greekLit:tlg1227.tlg001	tlg1227.tlg001		ocr	qwen36-sopater_kaibel_cgf-ocr	PD	12	113	104	raw-ocr	0.308642	edition-prefixed			1754812fa366f92ce728e4cf5150b2cfe48372b237c656d1756419887945074a
boethus.fragmenta	ogc000672	Fragmenta	boethus	oga000294	urn:cts:greekLit:tlg2397.tlg001	tlg2397.tlg001		ocr	qwen36-apollodorus_seleuc_svf3-ocr	PD	14	588	578	auto-corrected	0.064972	edition-prefixed			e949f4c831c733aa6229b488812fb6ec847a65d079204857a7336f13b968ff16
boidas.testimonium	ogc000673	Testimonium	Boïdas	oga000295	urn:cts:greekLit:tlg2230.tlg001	tlg2230.tlg001		ocr	qwen36-nausiphanes_diels_fvs2	PD	2	84	80	raw-ocr	0.166667	edition-prefixed			fe8d834d74c41372ad4888c866022282475f407500fd1010f2ebda96801e3b9f
bolus.testimonium	ogc000674	Testimonium	Bolus	oga000296	urn:cts:greekLit:tlg1306.tlg006	tlg1306.tlg006		ocr	qwen36-nausiphanes_diels_fvs2	PD	2	28	28	raw-ocr		edition-prefixed			5cd763a9926e62792bb76d1c36bc0b2a9913a760f952542479a7c271a9961367
botryas-myndius.fragmenta	ogc000675	Fragmenta	botryas-myndius	oga000297				dfhg	dfhg	CC-BY-SA-4.0	1	11	10	not-ocr		logical-numeric	ref.sub	2	b80d37df514847ff6561e4994672149d3e22273356dadd1436a1f7bce6047272
brotinus.testimonia	ogc000676	Testimonia	Brotinus	oga000298	urn:cts:greekLit:tlg1230.tlg002	tlg1230.tlg002		ocr	migne-ocr-qwen36	PD	40	502	492	auto-corrected	0.100977	edition-prefixed			761e6d14de0fb7a7f75aa0e869c4e5fa5b81f1e123986e41192bdd3a7afc8d1f
bruti-epistulae.epistulae	ogc000677	Epistulae	Bruti Epistulae	oga000299	urn:cts:greekLit:tlg1803.tlg001	tlg1803.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	70	3661	3627	not-ocr		logical-numeric	ref	1	c76f091b2a89917d9b32b8715ae9cbc7b21078b9198df0eea02175e9a0901ac6
bryson.fragmentum	ogc000678	Fragmentum	Bryson	oga000300	urn:cts:greekLit:tlg1231.tlg001	tlg1231.tlg001		ocr	qwen36-archytas_mullach_fpg2	PD	5	238	223	raw-ocr	0.187050	edition-prefixed			3ce48a06006d7aa1ec901144f71b1389a567ffaedf4f87482ef721990eeb2945
butherus.fragmentum	ogc000679	Fragmentum	Butherus	oga000301	urn:cts:greekLit:tlg1232.tlg001	tlg1232.tlg001		ocr	qwen36-archytas_mullach_fpg2	PD	4	148	147	raw-ocr	0.059524	edition-prefixed			3e5e4e3a4cd8c793f495fa3859cb88cb1bcfcd5312cc1bd6bb517f04898fc537
c-acilius-glabrio.fragmenta	ogc000680	Fragmenta	c-acilius-glabrio	oga000302				dfhg	dfhg	CC-BY-SA-4.0	1	91	90	not-ocr		logical-numeric	ref.sub	2	4bbff35dfff0de379d51621b3f7220a8b7fa3a64660632e73e4a52f421580653
caecilius-calactinus.fragmenta	ogc000681	Fragmenta	caecilius-calactinus	oga000303				dfhg	dfhg	CC-BY-SA-4.0	2	66	65	not-ocr		logical-numeric	ref.sub	2	a87d1cecdba5355a74be96dc068f7393dd6d401c059b1ed37786e88e85c984ff
callias-syracusanus.fragmenta	ogc000682	Fragmenta	callias-syracusanus	oga000305				dfhg	dfhg	CC-BY-SA-4.0	7	514	506	not-ocr		logical-numeric	ref.sub	2	a99192508f18207510cbddeea23c544d806a8be652015b97af2a566d5486bd49
callias.fragmenta	ogc000683	Fragmenta	Callias	oga000304	urn:cts:greekLit:tlg0426.tlg001	tlg0426.tlg001		ocr	kock-caf1-ocr-frag	PD	29	529	499	raw-ocr	0.190751	logical-numeric	ref	1	df5040cdb76019228ed860fff1a14ee05addf05b6966d44a5652d47dd50a0e84
callicratidas.fragmenta	ogc000684	Fragmenta	Callicratidas	oga000306	urn:cts:greekLit:tlg1237.tlg001	tlg1237.tlg001		ocr	qwen36-archytas_mullach_fpg2	PD	12	1336	1280	auto-corrected	0.255878	edition-prefixed			e8124c33c627a3dd6594ebe6dbb33db22ca0029a43c6d1771c2c2fc894161ba1
callimachus.aetia	ogc000685	Aetia	Callimachus	oga000307	urn:cts:greekLit:tlg0533.tlg006	tlg0533.tlg006	Q381844	first1k	1st1K-grc1	CC-BY-SA-4.0	39	1492	1382	not-ocr		logical-numeric	ref.sub	2	0881524893401f295ec2ee98acb4704d731a3441f45df0b662b66f00f93b0428
callimachus.callimachea-schneider-v1	ogc000686	callimachea_schneider_v1	Callimachus	oga000307	urn:cts:greekLit:tlg0533.tlg001	tlg0533.tlg001		ocr	qwen36-callimachea_schneider_v1	PD	2389	18253	16512	auto-corrected	0.289461	edition-prefixed			6f3032003be18e94f41eda0ef10df9a92443e8b7cf8016aede60828c001a25e9
callimachus.epigrammata	ogc000687	Epigrammata	Callimachus	oga000307	urn:cts:greekLit:tlg0533.tlg003	tlg0533.tlg003		perseus	perseus-grc2	CC-BY-SA-4.0	293	1938	1865	not-ocr		logical-numeric	ref.sub	2	51a1f6a399e842c041fd273914b8a68ed0c2a6ec76aa09c0e90d12b2dfde065c
callimachus.epigrammata-2	ogc000688	Epigrammata	Callimachus	oga000307	urn:cts:greekLit:tlg0533.tlg004	tlg0533.tlg004		perseus	perseus-grc2	CC-BY-SA-4.0	305	2012	1996	not-ocr		logical-numeric	ref.sub	2	694b764a40a6c26e15e42b03352935eba85ad93859794342bb2e3c492a07c59a
